Player,Married?,Tournament Earnings($),Rank,Year
Uladzimir Ignatik,No,96983,145,2017,
Akira Santillan,No,133498,146,2017,
Yannick Maden,No,73939,147,2017,
Ramkumar Ramanathan,No,111046,148,2017,
Egor Gerasimov,Yes,71297,149,2017,
Go Soeda,No,150392,150,2017,
Nicolas Almagro,Yes,355797,151,2017,
Tommy Paul,No,174593,152,2017,
Tatsuma Ito,No,124423,153,2017,
Alessandro Giannessi,No,189498,154,2017,
Corentin Moutet,No,57739,155,2017,
Gleb Sakharov,No,90148,156,2017,
Calvin Hemery,No,71883,157,2017,
Nikola Milojevic,No,80362,158,2017,
Kenny De Schepper,No,116281,159,2017,
Andrej Martin,No,71696,160,2017,
Mathias Bourgue,No,114708,161,2017,
Felix Auger-Aliassime,No,64377,162,2017,
Jurgen Zopp,No,47285,163,2017,
Tommy Robredo,No,232306,164,2017,
Jozef Kovalik,No,132279,165,2017,
Yoshihito Nishioka,No,214339,166,2017,
Stefan Kozlov,No,173581,167,2017,
Soonwoo Kwon,No,61911,168,2017,
Joao Domingues,No,55789,169,2017,
Liam Broady,No,78968,170,2017,
Simone Bolelli,Yes,48009,171,2017,
Alexey Vatutin,No,66888,172,2017,
Darian King,No,172398,173,2017,
Denis Kudla,No,130620,174,2017,
Michael Mmoh,No,147331,175,2017,
Mackenzie McDonald,No,92187,176,2017,
Marcel Granollers,No,339238,177,2017,
Arthur De Greef,No,121328,178,2017,
Aldin Setkic,No,80938,179,2017,
Matthias Bachinger,No,45837,180,2017,
Facundo Bagnis,No,224746,181,2017,
Viktor Galovic,No,47712,182,2017,
Filip Peliwo,No,46508,183,2017,
Jaume Munar,No,43724,184,2017,
Carlos Taberner,No,36785,185,2017,
Jurgen Melzer,Yes,19284,186,2017,
Benjamin Bonzi,No,122531,187,2017,
Vincent Millot,Yes,175306,188,2017,
Alex Bolt,No,81031,189,2017,
Marcelo Arevalo,Yes,22936,190,2017,
Mitchell Krueger,No,130819,191,2017,
Ze Zhang,Yes,91205,192,2017,
Guido Andreozzi,No,100007,193,2017,
Goncalo Oliveira,No,58115,194,2017,
Duckhee Lee,No,96967,195,2017,
Illya Marchenko,No,171382,196,2017,
Kamil Majchrzak,No,43971,197,2017,
Ricardo Ojeda Lara,No,47370,198,2017,
Ernests Gulbis,Yes,317146,199,2017,
Attila Balazs,No,55521,200,2017,
Andy Murray,Yes,13327822,1,2016,
Novak Djokovic,Yes,12630465,2,2016,
Milos Raonic,No,4632684,3,2016,
Stan Wawrinka,No,6099060,4,2016,
Kei Nishikori,No,4324963,5,2016,
Marin Cilic,Yes,3017428,6,2016,
Gael Monfils,No,2957420,7,2016,
Dominic Thiem,No,2775117,8,2016,
Rafael Nadal,Yes,2714278,9,2016,
Tomas Berdych,Yes,2318756,10,2016,
David Goffin,No,2072109,11,2016,
Jo-Wilfried Tsonga,Yes,2027645,12,2016,
Nick Kyrgios,No,1757289,13,2016,
Roberto Bautista Agut,Yes,1905873,14,2016,
Lucas Pouille,Yes,1673931,15,2016,
Roger Federer,Yes,1527269,16,2016,
Grigor Dimitrov,No,1617502,17,2016,
Richard Gasquet,No,1302038,18,2016,
John Isner,Yes,1392560,19,2016,
Ivo Karlovic,Yes,1267348,20,2016,
David Ferrer,Yes,1356930,21,2016,
Pablo Cuevas,No,1270475,22,2016,
Jack Sock,No,1220799,23,2016,
Alexander Zverev,No,1324084,24,2016,
Gilles Simon,No,1209502,25,2016,
Bernard Tomic,No,1085126,26,2016,
Albert Ramos-Vinolas,Yes,1180393,27,2016,
Feliciano Lopez,No,1068603,28,2016,
Viktor Troicki,Yes,1092007,29,2016,
Pablo Carreno Busta,No,990822,30,2016,
Sam Querrey,Yes,1008632,31,2016,
Philipp Kohlschreiber,Yes,915346,32,2016,
Steve Johnson,Yes,1015211,33,2016,
Gilles Muller,Yes,752157,34,2016,
Martin Klizan,No,1051513,35,2016,
Marcos Baghdatis,Yes,948524,36,2016,
Marcel Granollers,No,867768,37,2016,
Juan Martin del Potro,No,902366,38,2016,
Nicolas Mahut,No,1121953,39,2016,
Paolo Lorenzi,Yes,704215,40,2016,
Federico Delbonis,Yes,681684,41,2016,
Fernando Verdasco,Yes,771606,42,2016,
Joao Sousa,No,977039,43,2016,
Nicolas Almagro,Yes,758290,44,2016,
Kyle Edmund,No,729009,45,2016,
Andrey Kuznetsov,No,868237,46,2016,
Benoit Paire,No,844929,47,2016,
Borna Coric,No,672059,48,2016,
Fabio Fognini,Yes,714580,49,2016,
Florian Mayer,No,695103,50,2016,
Mischa Zverev,Yes,494173,51,2016,
Diego Schwartzman,No,441494,52,2016,
Karen Khachanov,Yes,444991,53,2016,
Stephane Robert,No,525756,54,2016,
Jiri Vesely,Yes,636568,55,2016,
Facundo Bagnis,No,287122,56,2016,
Mikhail Youzhny,Yes,543618,57,2016,
Malek Jaziri,Yes,511025,58,2016,
Robin Haase,No,446909,59,2016,
Adrian Mannarino,No,615701,60,2016,
Thomaz Bellucci,Yes,517431,61,2016,
Alexandr Dolgopolov,No,553480,62,2016,
Jan-Lennard Struff,No,370930,63,2016,
Yen-Hsun Lu,Yes,304610,64,2016,
Juan Monaco,No,526668,65,2016,
Daniel Evans,No,390476,66,2016,
Kevin Anderson,Yes,636954,67,2016,
Gerald Melzer,No,174961,68,2016,
Jeremy Chardy,Yes,656383,69,2016,
Guillermo Garcia-Lopez,No,645053,70,2016,
Horacio Zeballos,Yes,91986,71,2016,
Dustin Brown,No,344362,72,2016,
Paul-Henri Mathieu,Yes,484842,73,2016,
Illya Marchenko,No,580368,74,2016,
Adam Pavlasek,No,171484,75,2016,
Taylor Fritz,Yes,473348,76,2016,
Damir Dzumhur,No,535649,77,2016,
Pierre-Hugues Herbert,No,405112,78,2016,
Jordan Thompson,No,278131,79,2016,
Guido Pella,No,612905,80,2016,
Gastao Elias,No,250016,81,2016,
Thiago Monteiro,No,143966,82,2016,
Renzo Olivo,No,236126,83,2016,
John Millman,No,502180,84,2016,
Konstantin Kravchuk,Yes,32091,85,2016,
Steve Darcis,No,232351,86,2016,
Andreas Seppi,Yes,570779,87,2016,
Donald Young,No,460910,88,2016,
Mikhail Kukushkin,No,418888,89,2016,
Ryan Harrison,Yes,360724,90,2016,
Santiago Giraldo,No,311876,91,2016,
Ricardas Berankis,No,359596,92,2016,
Dusan Lajovic,No,463904,93,2016,
Nikoloz Basilashvili,Yes,234428,94,2016,
Carlos Berlocq,Yes,201475,95,2016,
Dudi Sela,Yes,344436,96,2016,
Radu Albot,No,259687,97,2016,
Rogerio Dutra Silva,Yes,210289,98,2016,
Daniil Medvedev,Yes,150271,99,2016,
Yoshihito Nishioka,No,289929,100,2016,
Aljaz Bedene,Yes,441999,101,2016,
Victor Estrella Burgos,No,388180,102,2016,
James Duckworth,No,201084,103,2016,
Hyeon Chung,No,237733,104,2016,
Jared Donaldson,No,335854,105,2016,
Inigo Cervantes,No,53678,106,2016,
Radek Stepanek,No,344611,107,2016,
Frances Tiafoe,No,182813,108,2016,
Sergiy Stakhovsky,Yes,337454,109,2016,
Nicolas Kicker,No,97361,110,2016,
Guido Andreozzi,No,121878,111,2016,
Yuichi Sugita,No,230392,112,2016,
Lukas Rosol,No,440640,113,2016,
Bjorn Fratangelo,No,287848,114,2016,
Daniel Gimeno-Traver,Yes,192556,115,2016,
Stefan Kozlov,No,104851,116,2016,
Jozef Kovalik,No,193074,117,2016,
Tobias Kamke,No,157666,118,2016,
Benjamin Becker,Yes,346447,119,2016,
Marco Chiudinelli,No,186833,120,2016,
Denis Istomin,No,405402,121,2016,
Lukas Lacko,No,240526,122,2016,
Joao Souza,No,84753,123,2016,
Thomas Fabbiano,No,230438,124,2016,
Evgeny Donskoy,Yes,334631,125,2016,
Go Soeda,No,100908,126,2016,
Taro Daniel,No,261605,127,2016,
Alessandro Giannessi,No,148490,128,2016,
Rajeev Ram,Yes,532660,129,2016,
Julien Benneteau,Yes,331430,130,2016,
Denis Kudla,No,371614,131,2016,
Marius Copil,No,139267,132,2016,
Vasek Pospisil,No,478228,133,2016,
Arthur De Greef,No,56036,134,2016,
Peter Polansky,No,99391,135,2016,
Henri Laaksonen,No,121564,136,2016,
Andrej Martin,No,199164,137,2016,
Teymuraz Gabashvili,No,465808,138,2016,
Leonardo Mayer,Yes,308291,139,2016,
Tim Smyczek,Yes,220291,140,2016,
Ernesto Escobedo,No,144173,141,2016,
Norbert Gombos,No,77811,142,2016,
Vincent Millot,Yes,137734,143,2016,
Janko Tipsarevic,Yes,311279,144,2016,
Roberto Carballes Baena,No,149433,145,2016,
Marco Trungelliti,Yes,174996,146,2016,
Ivan Dodig,Yes,553222,147,2016,
Ruben Ramirez Hidalgo,No,60965,148,2016,
Duckhee Lee,No,80131,149,2016,
Maximo Gonzalez,No,64663,150,2016,
Ernests Gulbis,Yes,403035,151,2016,
Darian King,No,70674,152,2016,
Quentin Halys,No,32246,153,2016,
Jason Jung,No,59305,154,2016,
Grega Zemlja,No,93273,155,2016,
Andrey Rublev,No,131887,156,2016,
Luca Vanni,No,94448,157,2016,
Marton Fucsovics,No,117222,158,2016,
Di Wu,No,135221,159,2016,
Elias Ymer,No,105992,160,2016,
Jan Satral,No,136064,161,2016,
Kenny De Schepper,No,137647,162,2016,
Enrique Lopez Perez,No,74648,163,2016,
Albert Montanes,No,190376,164,2016,
Constant Lestienne,No,49964,165,2016,
Steven Diez,No,97021,166,2016,
Ruben Bemelmans,No,125383,167,2016,
Daniel Brands,No,179978,168,2016,
Dennis Novikov,No,190229,169,2016,
Andrew Whittington,No,55741,170,2016,
Tatsuma Ito,No,101220,171,2016,
Stefano Napolitano,No,43113,172,2016,
Hiroki Moriya,No,89520,173,2016,
Aleksandr Nedovyesov,No,8613,174,2016,
Federico Gaio,No,76507,175,2016,
Maximilian Marterer,No,44781,176,2016,
Igor Sijsling,No,183397,177,2016,
Kimmer Coppejans,No,60064,178,2016,
Ilya Ivashka,No,84604,179,2016,
Sam Groth,No,248788,180,2016,
Mirza Basic,No,120475,181,2016,
Michael Berrer,No,150511,182,2016,
Mathias Bourgue,No,129687,183,2016,
Agustin Velotti,No,36899,184,2016,
Laslo Djere,No,80698,185,2016,
Marcelo Arevalo,Yes,25334,186,2016,
Marco Cecchinato,No,171578,187,2016,
Pedro Sousa,No,39820,188,2016,
Peter Gojowczyk,No,96700,189,2016,
Uladzimir Ignatik,No,52907,190,2016,
Tennys Sandgren,No,54453,191,2016,
Saketh Myneni,No,8400,192,2016,
Alexander Kudryavtsev,Yes,117597,193,2016,
James McGee,No,60340,194,2016,
Joris De Loore,No,48992,195,2016,
Matthew Barton,No,131850,196,2016,
Michael Mmoh,No,103038,197,2016,
Marko Tepavac,No,48351,198,2016,
Mohamed Safwat,Yes,52548,199,2016,
Noah Rubin,No,119924,200,2016,
Novak Djokovic,Yes,18267125,1,2015,
Andy Murray,Yes,6720153,2,2015,
Roger Federer,Yes,7802893,3,2015,
Stan Wawrinka,No,5800265,4,2015,
Rafael Nadal,Yes,3856515,5,2015,
Tomas Berdych,Yes,3257923,6,2015,
David Ferrer,Yes,3210628,7,2015,
Kei Nishikori,No,3036326,8,2015,
Richard Gasquet,No,2136996,9,2015,
Jo-Wilfried Tsonga,Yes,1936220,10,2015,
John Isner,Yes,1681843,11,2015,
Kevin Anderson,Yes,1790132,12,2015,
Marin Cilic,Yes,2033976,13,2015,
Milos Raonic,No,1482985,14,2015,
Gilles Simon,No,1437082,15,2015,
David Goffin,No,1116563,16,2015,
Feliciano Lopez,No,1350029,17,2015,
Bernard Tomic,No,1158571,18,2015,
Benoit Paire,No,855641,19,2015,
Dominic Thiem,No,1052937,20,2015,
Fabio Fognini,Yes,1200277,21,2015,
Viktor Troicki,Yes,1079164,22,2015,
Ivo Karlovic,Yes,1097621,23,2015,
Gael Monfils,No,1033018,24,2015,
Roberto Bautista Agut,Yes,1249406,25,2015,
Jack Sock,No,902176,26,2015,
Guillermo Garcia-Lopez,No,949399,27,2015,
Grigor Dimitrov,No,968791,28,2015,
Andreas Seppi,Yes,1028403,29,2015,
Nick Kyrgios,No,961018,30,2015,
Jeremy Chardy,Yes,991907,31,2015,
Steve Johnson,Yes,928660,32,2015,
Joao Sousa,No,848973,33,2015,
Philipp Kohlschreiber,Yes,761540,34,2015,
Leonardo Mayer,Yes,704175,35,2015,
Alexandr Dolgopolov,No,740971,36,2015,
Thomaz Bellucci,Yes,731423,37,2015,
Gilles Muller,Yes,749897,38,2015,
Vasek Pospisil,No,856816,39,2015,
Pablo Cuevas,No,783081,40,2015,
Jiri Vesely,Yes,694121,41,2015,
Tommy Robredo,No,714708,42,2015,
Martin Klizan,No,717474,43,2015,
Borna Coric,No,667986,44,2015,
Aljaz Bedene,Yes,432043,45,2015,
Marcos Baghdatis,Yes,591442,46,2015,
Adrian Mannarino,No,751239,47,2015,
Donald Young,No,671720,48,2015,
Fernando Verdasco,Yes,745138,49,2015,
Teymuraz Gabashvili,No,557160,50,2015,
Hyeon Chung,No,283209,51,2015,
Federico Delbonis,Yes,360186,52,2015,
Juan Monaco,No,548046,53,2015,
Albert Ramos-Vinolas,Yes,492583,54,2015,
Lukas Rosol,No,709955,55,2015,
Victor Estrella Burgos,No,482456,56,2015,
Jerzy Janowicz,No,588781,57,2015,
Simone Bolelli,Yes,626402,58,2015,
Sam Querrey,Yes,526082,59,2015,
Sam Groth,No,503647,60,2015,
Denis Istomin,No,516271,61,2015,
Sergiy Stakhovsky,Yes,630295,62,2015,
Andreas Haider-Maurer,Yes,556485,63,2015,
Pablo Andujar,Yes,701494,64,2015,
Mikhail Kukushkin,No,475570,65,2015,
Robin Haase,No,434629,66,2015,
Pablo Carreno Busta,No,427994,67,2015,
Paolo Lorenzi,Yes,364593,68,2015,
Denis Kudla,No,435070,69,2015,
Santiago Giraldo,No,573526,70,2015,
Nicolas Mahut,No,657992,71,2015,
Inigo Cervantes,No,7287,72,2015,
Nicolas Almagro,Yes,388305,73,2015,
Guido Pella,No,161633,74,2015,
Daniel Munoz de la Nava,No,122588,75,2015,
Dusan Lajovic,No,374745,76,2015,
Yen-Hsun Lu,Yes,460007,77,2015,
Lucas Pouille,Yes,389487,78,2015,
Andrey Kuznetsov,No,293972,79,2015,
Thanasi Kokkinakis,No,436844,80,2015,
Ernests Gulbis,Yes,595541,81,2015,
Damir Dzumhur,No,290160,82,2015,
Alexander Zverev,No,355608,83,2015,
Marcel Granollers,No,515326,84,2015,
Ricardas Berankis,No,410561,85,2015,
Steve Darcis,No,272363,86,2015,
Ivan Dodig,Yes,730581,87,2015,
Diego Schwartzman,No,374619,88,2015,
Rajeev Ram,Yes,205208,89,2015,
Marco Cecchinato,No,157763,90,2015,
Evgeny Donskoy,Yes,206910,91,2015,
John Millman,No,267787,92,2015,
Yuki Bhambri,No,111174,93,2015,
Illya Marchenko,No,215865,94,2015,
Paul-Henri Mathieu,Yes,287741,95,2015,
Taro Daniel,No,137483,96,2015,
Benjamin Becker,Yes,492018,97,2015,
Daniel Gimeno-Traver,Yes,349188,98,2015,
Thiemo de Bakker,No,139119,99,2015,
Dudi Sela,Yes,312117,100,2015,
Filip Krajinovic,No,286602,101,2015,
Kyle Edmund,No,205656,102,2015,
Malek Jaziri,Yes,389614,103,2015,
Austin Krajicek,No,58111,104,2015,
Matthew Ebden,Yes,191054,105,2015,
Luca Vanni,No,233354,106,2015,
Jan-Lennard Struff,No,311633,107,2015,
Nikoloz Basilashvili,Yes,296978,108,2015,
Ruben Bemelmans,No,298028,109,2015,
Tim Smyczek,Yes,294388,110,2015,
Lukas Lacko,No,281271,111,2015,
Carlos Berlocq,Yes,194333,112,2015,
Ryan Harrison,Yes,210665,113,2015,
Marsel Ilhan,No,365197,114,2015,
Michael Berrer,No,263256,115,2015,
Albert Montanes,No,150716,116,2015,
Yoshihito Nishioka,No,184356,117,2015,
Dustin Brown,No,350075,118,2015,
Tatsuma Ito,No,215778,119,2015,
James Duckworth,No,301102,120,2015,
Radu Albot,No,154199,121,2015,
Alejandro Falla,Yes,252966,122,2015,
Edouard Roger-Vasselin,Yes,418908,123,2015,
Horacio Zeballos,Yes,45917,124,2015,
Rogerio Dutra Silva,Yes,55777,125,2015,
Yuichi Sugita,No,169187,126,2015,
Mikhail Youzhny,Yes,406239,127,2015,
Bjorn Fratangelo,No,131206,128,2015,
John-Patrick Smith,No,176272,129,2015,
Kimmer Coppejans,No,104751,130,2015,
Roberto Carballes Baena,No,85424,131,2015,
Go Soeda,No,245181,132,2015,
Gastao Elias,No,102696,133,2015,
Jared Donaldson,No,173920,134,2015,
Mirza Basic,No,62790,135,2015,
Elias Ymer,No,229701,136,2015,
Facundo Arguello,No,111701,137,2015,
Norbert Gombos,No,95474,138,2015,
Konstantin Kravchuk,Yes,12788,139,2015,
Facundo Bagnis,No,123931,140,2015,
Alejandro Gonzalez,No,200466,141,2015,
Joao Souza,No,289545,142,2015,
Adrian Menendez-Maceiras,No,127871,143,2015,
Blaz Rola,No,173757,144,2015,
Igor Sijsling,No,200761,145,2015,
Andrej Martin,No,54484,146,2015,
Maximo Gonzalez,No,61355,147,2015,
Kenny De Schepper,No,201163,148,2015,
Andre Ghem,No,76517,149,2015,
Dennis Novikov,No,73870,150,2015,
Blaz Kavcic,No,217755,151,2015,
Karen Khachanov,Yes,61612,152,2015,
Jarkko Nieminen,Yes,353967,153,2015,
Jordan Thompson,No,71861,154,2015,
Jurgen Melzer,Yes,86874,155,2015,
James Ward,No,283552,156,2015,
Thomas Fabbiano,No,92291,157,2015,
Andrea Arnaboldi,No,154062,158,2015,
Daniel Brands,No,47521,159,2015,
Adam Pavlasek,No,50227,160,2015,
Farrukh Dustov,No,83556,161,2015,
Aleksandr Nedovyesov,No,12568,162,2015,
Jurgen Zopp,No,88682,163,2015,
Alexander Kudryavtsev,Yes,92050,164,2015,
Marius Copil,No,154058,165,2015,
Gerald Melzer,No,94782,166,2015,
Pierre-Hugues Herbert,No,209664,167,2015,
David Guez,No,66576,168,2015,
Adrian Ungur,No,42333,169,2015,
Saketh Myneni,No,13666,170,2015,
Mischa Zverev,Yes,99071,171,2015,
Andrey Rublev,No,157670,172,2015,
Grega Zemlja,No,31038,173,2015,
Laslo Djere,No,48319,174,2015,
Renzo Olivo,No,60687,175,2015,
Hans Podlipnik-Castillo,No,21691,176,2015,
Taylor Fritz,Yes,47165,177,2015,
Guilherme Clezar,No,104101,178,2015,
Frances Tiafoe,No,115268,179,2015,
Somdev Devvarman,No,70044,180,2015,
Vincent Millot,Yes,117853,181,2015,
Nicolas Kicker,No,42380,182,2015,
Matteo Donati,No,84600,183,2015,
Henri Laaksonen,No,40875,184,2015,
Franko Skugor,No,13991,185,2015,
Daniel Evans,No,47914,186,2015,
Brydan Klein,No,10104,187,2015,
Luke Saville,No,119936,188,2015,
Egor Gerasimov,Yes,30114,189,2015,
Ze Zhang,Yes,130763,190,2015,
Aldin Setkic,No,49583,191,2015,
Jordi Samper-Montana,No,40878,192,2015,
Filippo Volandri,No,35745,193,2015,
Michal Przysiezny,No,84875,194,2015,
Peter Gojowczyk,No,92488,195,2015,
Aslan Karatsev,No,69405,196,2015,
Tristan Lamasine,No,60588,197,2015,
Radek Stepanek,No,241038,198,2015,
Alexander Sarkissian,No,44044,199,2015,
Hiroki Moriya,No,123014,200,2015,
Novak Djokovic,Yes,11600528,1,2014,
Roger Federer,Yes,7993989,2,2014,
Rafael Nadal,Yes,6202445,3,2014,
Stan Wawrinka,No,4912119,4,2014,
Kei Nishikori,No,4431365,5,2014,
Andy Murray,Yes,3474824,6,2014,
Tomas Berdych,Yes,3529535,7,2014,
Milos Raonic,No,3194482,8,2014,
Marin Cilic,Yes,4667359,9,2014,
David Ferrer,Yes,2574027,10,2014,
Grigor Dimitrov,No,2559360,11,2014,
Jo-Wilfried Tsonga,Yes,1763984,12,2014,
Ernests Gulbis,Yes,1767577,13,2014,
Feliciano Lopez,No,1399850,14,2014,
Roberto Bautista Agut,Yes,1412579,15,2014,
Kevin Anderson,Yes,1363382,16,2014,
Tommy Robredo,No,1463255,17,2014,
Gael Monfils,No,1281512,18,2014,
John Isner,Yes,1284640,19,2014,
Fabio Fognini,Yes,1085883,20,2014,
Gilles Simon,No,1260732,21,2014,
David Goffin,No,758522,22,2014,
Alexandr Dolgopolov,No,998016,23,2014,
Philipp Kohlschreiber,Yes,1121084,24,2014,
Julien Benneteau,Yes,847123,25,2014,
Richard Gasquet,No,847265,26,2014,
Ivo Karlovic,Yes,869356,27,2014,
Leonardo Mayer,Yes,1046234,28,2014,
Jeremy Chardy,Yes,921069,29,2014,
Pablo Cuevas,No,528384,30,2014,
Lukas Rosol,No,752020,31,2014,
Santiago Giraldo,No,929828,32,2014,
Fernando Verdasco,Yes,799398,33,2014,
Martin Klizan,No,673386,34,2014,
Sam Querrey,Yes,588602,35,2014,
Guillermo Garcia-Lopez,No,800103,36,2014,
Steve Johnson,Yes,499818,37,2014,
Yen-Hsun Lu,Yes,585972,38,2014,
Dominic Thiem,No,717536,39,2014,
Benjamin Becker,Yes,618388,40,2014,
Pablo Andujar,Yes,673282,41,2014,
Jack Sock,No,565344,42,2014,
Jerzy Janowicz,No,738975,43,2014,
Adrian Mannarino,No,514847,44,2014,
Andreas Seppi,Yes,689789,45,2014,
Marcel Granollers,No,725566,46,2014,
Gilles Muller,Yes,234612,47,2014,
Mikhail Youzhny,Yes,693920,48,2014,
Denis Istomin,No,626402,49,2014,
Lleyton Hewitt,Yes,477980,50,2014,
Pablo Carreno Busta,No,532333,51,2014,
Nick Kyrgios,No,638814,52,2014,
Vasek Pospisil,No,632565,53,2014,
Joao Sousa,No,672525,54,2014,
Simone Bolelli,Yes,55808,55,2014,
Bernard Tomic,No,499792,56,2014,
Donald Young,No,518144,57,2014,
Sergiy Stakhovsky,Yes,455054,58,2014,
Jan-Lennard Struff,No,411560,59,2014,
Federico Delbonis,Yes,561477,60,2014,
Diego Schwartzman,No,256652,61,2014,
Juan Monaco,No,449628,62,2014,
Albert Ramos-Vinolas,Yes,353914,63,2014,
Paolo Lorenzi,Yes,317852,64,2014,
Thomaz Bellucci,Yes,380517,65,2014,
Jiri Vesely,Yes,445519,66,2014,
Teymuraz Gabashvili,No,594156,67,2014,
Radek Stepanek,No,499289,68,2014,
Dusan Lajovic,No,518819,69,2014,
Mikhail Kukushkin,No,547266,70,2014,
Nicolas Almagro,Yes,375760,71,2014,
Carlos Berlocq,Yes,430623,72,2014,
Jarkko Nieminen,Yes,566430,73,2014,
Andrey Golubev,No,392313,74,2014,
Marinko Matosevic,No,474814,75,2014,
Malek Jaziri,Yes,307745,76,2014,
Tommy Haas,No,373736,77,2014,
Victor Estrella Burgos,No,326877,78,2014,
Peter Gojowczyk,No,286170,79,2014,
Blaz Rola,No,278471,80,2014,
Sam Groth,No,291068,81,2014,
Andreas Haider-Maurer,Yes,261437,82,2014,
Robin Haase,No,439474,83,2014,
Igor Sijsling,No,482900,84,2014,
Marcos Baghdatis,Yes,278644,85,2014,
Ricardas Berankis,No,205789,86,2014,
Edouard Roger-Vasselin,Yes,603098,87,2014,
Alejandro Falla,Yes,402435,88,2014,
Dustin Brown,No,330144,89,2014,
Joao Souza,No,106448,90,2014,
Alejandro Gonzalez,No,367224,91,2014,
Andrey Kuznetsov,No,350143,92,2014,
Tatsuma Ito,No,191093,93,2014,
Lukas Lacko,No,316909,94,2014,
